Sample in Buffer,Sample in Window,TRIGGER,dut/u_custom_icb_mig/u_custom_icb_mig/app_wr_req,dut/u_custom_icb_mig/u_custom_icb_mig/app_rd_req,dut/u_custom_icb_mig/u_custom_icb_mig/mem_rw_addr_1[1:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_addr_offset_1[3:2],dut/u_custom_icb_mig/u_custom_icb_mig/mem_rw_addr[27:4],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_addr[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_wr_mask[15:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_mask_i[15:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_addr_offset[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_wr_data[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_rd_data[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_rd_data_1[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_data_i[31:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_rd_done,dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_done,dut/u_custom_icb_mig/u_custom_icb_mig/r_app_addr_offset[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_rd_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
1,1,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
2,2,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
3,3,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
4,4,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
5,5,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
6,6,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
7,7,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
8,8,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
